day,hour,kappa_c_mean,kappa_c_std
0,0,0.292955,0.001732
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,0.878116,0.005192
0,12,1.405103,0.177559
0,15,1.170094,0.290238
0,18,0.292955,0.001732
0,21,0.292955,0.001732
1,0,0.292955,0.001732
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,0.936865,0.177481
1,12,1.522026,0.178383
1,15,1.228576,0.284269
1,18,0.292955,0.001732
1,21,0.292955,0.001732
2,0,0.292955,0.001732
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,0.936865,0.177481
2,12,1.463278,0.008652
2,15,1.287803,0.268571
2,18,0.292955,0.001732
2,21,0.292955,0.001732
3,0,0.292955,0.001732
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,0.878116,0.005192
3,12,1.522026,0.178383
3,15,1.053525,0.267562
3,18,0.292955,0.001732
3,21,0.292955,0.001732
4,0,0.292955,0.001732
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,0.878116,0.005192
4,12,1.405103,0.177559
4,15,0.995553,0.236442
4,18,0.292955,0.001732
4,21,0.292955,0.001732
5,0,0.292955,0.001732
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,0.527132,0.286931
5,12,1.463278,0.008652
5,15,1.053081,0.265420
5,18,0.292955,0.001732
5,21,0.292955,0.001732
6,0,0.292955,0.001732
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,0.409948,0.233948
6,12,0.936865,0.177481
6,15,0.878116,0.005192
6,18,0.292955,0.001732
6,21,0.292955,0.001732
