day,hour,kappa_c_mean,kappa_c_std
0,0,0.292955,0.001732
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,2.809281,0.270131
0,12,4.154820,0.387521
0,15,3.569488,0.386105
0,18,0.292955,0.001732
0,21,0.878116,0.005192
1,0,0.292955,0.001732
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,3.043725,0.379676
1,12,4.681636,0.472006
1,15,3.862661,0.411590
1,18,0.351280,0.174664
1,21,0.878116,0.005192
2,0,0.351437,0.175398
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,3.335754,0.234249
2,12,4.506318,0.353764
2,15,3.803857,0.453029
2,18,0.526689,0.285944
2,21,0.878116,0.005192
3,0,0.351437,0.175398
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,2.925748,0.288725
3,12,4.681636,0.472006
3,15,3.394320,0.374257
3,18,0.292955,0.001732
3,21,0.878116,0.005192
4,0,0.292955,0.001732
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,2.399815,0.289270
4,12,4.038149,0.469898
4,15,3.394170,0.267022
4,18,0.292955,0.001732
4,21,0.878116,0.005192
5,0,0.351437,0.175398
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,1.697454,0.287524
5,12,4.505758,0.434589
5,15,3.336267,0.355435
5,18,0.292955,0.001732
5,21,0.878116,0.005192
6,0,0.351437,0.175398
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,1.638958,0.269234
6,12,3.452414,0.282235
6,15,2.458563,0.378733
6,18,0.292955,0.001732
6,21,0.878116,0.005192
